state,date,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,deaths_covid
OK,2021/01/18,1865,141,1834,143,76,141,68,141,29
OR,2021/01/18,409,60,348,62,9,60,5,60,6
PA,2021/01/18,5106,196,4705,202,54,195,29,195,101
PR,2021/01/18,344,66,291,67,36,66,6,66,56
RI,2021/01/18,417,14,376,15,4,14,4,14,4
SC,2021/01/18,2165,68,2081,70,6,68,6,68,50
SD,2021/01/18,194,60,178,63,4,60,1,60,3
TN,2021/01/18,2709,113,2657,116,32,113,31,113,54
TX,2021/01/18,14417,584,13965,589,154,584,117,584,219
UT,2021/01/18,607,52,537,53,14,52,0,52,4
VA,2021/01/18,2962,91,2649,94,28,91,15,91,54
WA,2021/01/18,958,95,879,97,14,95,10,95,14
WI,2021/01/18,1006,140,975,143,8,140,3,140,21
WV,2021/01/18,688,55,680,59,4,55,0,55,8
AK,2021/01/19,47,22,46,22,1,22,1,22,2
AL,2021/01/19,2821,105,2751,107,36,105,11,105,55
AR,2021/01/19,1193,90,1113,92,14,90,7,90,24
AZ,2021/01/19,4639,102,4213,105,43,102,24,102,108
CA,2021/01/19,20573,372,20016,380,184,372,159,372,449
CO,2021/01/19,858,95,768,97,20,95,13,95,12
CT,2021/01/19,1264,32,1134,33,13,32,8,32,31
DC,2021/01/19,337,13,307,14,33,13,10,13,2
DE,2021/01/19,470,9,456,10,4,9,3,9,6
FL,2021/01/19,7957,225,7526,231,50,225,41,225,126
GA,2021/01/19,6068,152,5800,155,72,152,43,152,94
HI,2021/01/19,127,24,102,24,1,24,1,24,4
IA,2021/01/19,497,120,468,122,7,120,5,120,8
ID,2021/01/19,271,47,267,48,2,47,2,47,4
IL,2021/01/19,3295,182,2813,187,52,182,22,182,60
IN,2021/01/19,2273,135,1945,137,17,135,8,135,25
KS,2021/01/19,830,138,753,141,4,138,3,138,19
KY,2021/01/19,1702,101,1605,103,16,101,2,101,31
LA,2021/01/19,1636,218,1820,221,17,218,10,218,44
MA,2021/01/19,2001,78,1828,79,26,78,19,78,33
MD,2021/01/19,2148,51,1722,52,21,51,12,51,29
ME,2021/01/19,218,36,197,37,2,36,2,36,3
MI,2021/01/19,2021,157,1853,161,26,157,24,157,21
MN,2021/01/19,665,130,574,131,14,130,8,130,7
MO,2021/01/19,2244,122,1954,126,84,122,36,122,37
MS,2021/01/19,1219,99,1051,101,16,99,11,99,30
MT,2021/01/19,161,65,153,66,3,65,1,65,3
NC,2021/01/19,3663,114,3456,118,32,114,19,114,80
ND,2021/01/19,143,46,104,47,5,46,2,46,2
NE,2021/01/19,463,99,436,100,19,99,14,99,4
NH,2021/01/19,276,28,243,28,2,28,0,28,2
NJ,2021/01/19,3639,77,3373,78,28,77,10,77,46
NM,2021/01/19,692,53,618,54,6,53,4,53,14
NV,2021/01/19,1709,58,1590,60,5,58,8,58,37
NY,2021/01/19,10129,172,9501,181,120,172,61,172,154
OH,2021/01/19,4040,194,3734,198,97,194,35,194,66
OK,2021/01/19,1840,146,1833,148,75,146,71,146,43
OR,2021/01/19,422,60,345,62,7,60,5,60,6
PA,2021/01/19,5061,198,4629,204,61,197,31,197,106
PR,2021/01/19,350,66,308,67,35,66,6,66,61
RI,2021/01/19,420,14,382,15,2,14,2,14,8
SC,2021/01/19,2175,68,2092,70,7,68,5,68,40
SD,2021/01/19,187,60,171,63,4,60,1,60,3
TN,2021/01/19,2746,113,2655,116,38,113,35,113,55
TX,2021/01/19,14525,584,13961,589,167,584,126,584,229
UT,2021/01/19,577,52,524,53,16,52,0,52,3
VA,2021/01/19,2950,92,2611,95,29,92,15,92,49
WA,2021/01/19,932,94,855,96,13,94,9,94,10
WI,2021/01/19,1017,140,952,143,3,140,2,140,16
WV,2021/01/19,696,55,697,59,8,55,1,55,8
AL,2021/01/20,2893,115,2695,117,24,115,20,115,59
AR,2021/01/20,1223,109,1103,111,13,109,5,109,27
AZ,2021/01/20,4779,123,4286,126,46,123,28,123,81
CA,2021/01/20,20259,408,19633,416,210,408,170,408,450
CO,2021/01/20,828,102,754,104,36,102,13,102,7
CT,2021/01/20,1262,39,1099,40,10,39,7,39,30
DC,2021/01/20,351,13,292,14,37,13,15,13,1
DE,2021/01/20,471,15,454,16,5,15,4,15,5
FL,2021/01/20,7864,263,7402,269,68,263,50,263,122
GA,2021/01/20,6011,168,5714,171,68,168,44,168,78
IA,2021/01/20,534,124,464,126,6,124,2,124,5
ID,2021/01/20,250,51,244,52,2,51,2,51,1
IL,2021/01/20,3351,201,2799,206,47,201,17,201,41
IN,2021/01/20,2263,164,1883,166,36,164,20,164,32
KS,2021/01/20,808,146,731,149,5,146,3,146,15
KY,2021/01/20,1707,116,1610,118,20,116,4,116,33
LA,2021/01/20,1615,218,1764,221,16,218,8,218,30
MA,2021/01/20,2056,101,1851,102,28,101,13,101,27
MD,2021/01/20,2161,58,1720,59,19,58,11,58,21
MI,2021/01/20,1978,160,1828,164,30,160,22,160,36
MN,2021/01/20,650,139,564,140,13,139,8,139,5
MO,2021/01/20,2189,136,1912,140,75,136,33,136,39
MS,2021/01/20,1236,106,1063,108,18,106,8,106,18
MT,2021/01/20,150,66,141,67,4,66,1,66,1
NC,2021/01/20,3664,128,3469,132,37,128,22,128,72
NE,2021/01/20,450,100,432,101,14,100,10,100,5
NH,2021/01/20,291,30,237,30,4,30,4,30,1
NJ,2021/01/20,3542,95,3261,96,35,95,15,95,50
NM,2021/01/20,713,54,658,55,9,54,5,54,13
NV,2021/01/20,1643,61,1537,63,5,61,7,61,36
NY,2021/01/20,9913,199,9300,208,130,199,57,199,149
OH,2021/01/20,3963,228,3651,232,83,228,37,228,58
OK,2021/01/20,1541,149,1539,151,74,149,69,149,43
OR,2021/01/20,437,61,367,63,8,61,4,61,5
PA,2021/01/20,5047,222,4501,228,53,222,33,222,87
PR,2021/01/20,324,66,279,67,33,66,6,66,57
RI,2021/01/20,416,14,377,15,7,14,7,14,10
SC,2021/01/20,2228,85,2107,87,14,85,7,85,46
TN,2021/01/20,2593,116,2496,119,46,116,39,116,66
TX,2021/01/20,14225,587,13686,592,171,587,126,587,243
UT,2021/01/20,589,58,518,59,13,58,0,58,3
VA,2021/01/20,2923,103,2573,106,29,103,11,103,46
WA,2021/01/20,856,103,790,105,29,103,12,103,7
WI,2021/01/20,986,146,931,149,6,146,2,146,18
WV,2021/01/20,725,59,682,63,6,59,3,59,8
AL,2021/01/21,2690,113,2511,115,33,113,23,113,42
AR,2021/01/21,1208,109,1077,111,18,109,6,109,23
AZ,2021/01/21,4603,123,4165,126,52,123,34,123,91
CA,2021/01/21,19682,408,19071,416,205,408,169,408,445
CO,2021/01/21,800,103,724,105,23,103,16,103,8
CT,2021/01/21,1209,39,1090,40,9,39,7,39,15
DC,2021/01/21,311,13,285,14,42,13,15,13,8
DE,2021/01/21,445,15,430,16,7,15,5,15,5
FL,2021/01/21,7611,263,7170,269,69,263,51,263,113
GA,2021/01/21,6011,168,5639,171,77,168,56,168,93
HI,2021/01/21,119,26,103,26,1,26,0,26,2
IA,2021/01/21,470,124,447,126,3,124,2,124,6
ID,2021/01/21,243,51,239,52,5,51,4,51,4
IL,2021/01/21,3252,201,2735,206,44,201,23,201,39
IN,2021/01/21,2129,164,1825,166,25,164,18,164,38
KS,2021/01/21,798,146,736,149,6,146,4,146,14
KY,2021/01/21,1651,116,1552,118,18,116,2,116,29
LA,2021/01/21,1579,218,1725,221,16,218,10,218,23
MA,2021/01/21,1982,101,1801,102,23,101,13,101,44
MD,2021/01/21,2072,58,1664,59,15,58,12,58,24
ME,2021/01/21,223,38,191,39,3,38,2,38,5
MI,2021/01/21,1883,160,1745,164,20,160,19,160,38
MN,2021/01/21,635,139,545,140,18,139,11,139,11
MO,2021/01/21,2112,136,1819,140,60,136,31,136,26
MS,2021/01/21,1195,106,1012,108,10,106,6,106,24
MT,2021/01/21,152,66,144,67,1,66,1,66,2
NC,2021/01/21,3462,128,3303,132,37,128,19,128,73
ND,2021/01/21,138,49,94,50,4,49,1,49,1
NE,2021/01/21,428,100,421,101,12,100,8,100,6
NH,2021/01/21,291,30,239,30,3,30,3,30,1
NJ,2021/01/21,3435,95,3175,96,37,95,13,95,59
NM,2021/01/21,700,54,647,55,15,54,4,54,13
NV,2021/01/21,1562,61,1491,63,7,61,4,61,38
NY,2021/01/21,9818,199,9123,208,140,199,65,199,149
OH,2021/01/21,3845,228,3511,232,79,228,46,228,66
OK,2021/01/21,1723,149,1711,151,76,149,71,149,47
OR,2021/01/21,420,62,352,64,12,62,3,62,5
PA,2021/01/21,4860,222,4366,228,66,221,30,221,109
PR,2021/01/21,345,66,275,67,29,66,3,66,55
RI,2021/01/21,399,14,362,15,8,14,8,14,13
SC,2021/01/21,2167,85,2048,87,13,85,9,85,58
TN,2021/01/21,2436,113,2348,116,48,113,43,113,63
TX,2021/01/21,13987,587,13445,592,168,587,129,587,251
UT,2021/01/21,536,58,468,59,16,58,1,58,2
VA,2021/01/21,2868,103,2549,106,27,103,13,103,39
WA,2021/01/21,854,103,770,105,24,103,7,103,9
WI,2021/01/21,950,145,900,148,12,145,3,145,16
WV,2021/01/21,723,59,681,63,5,59,3,59,9
WY,2021/01/21,96,29,86,31,4,29,4,29,4
AL,2021/01/22,2703,113,2529,115,26,113,20,113,57
AR,2021/01/22,1196,109,1076,111,26,109,7,109,31
AZ,2021/01/22,4579,123,4067,126,61,123,35,123,75
CA,2021/01/22,19122,408,18511,416,246,408,210,408,431
CO,2021/01/22,824,103,740,105,22,103,17,103,6
CT,2021/01/22,1231,39,1106,40,10,39,8,39,19
DC,2021/01/22,340,13,290,14,38,13,15,13,2
DE,2021/01/22,440,15,419,16,5,15,4,15,7
FL,2021/01/22,7546,263,7064,269,68,263,53,263,105
GA,2021/01/22,5815,168,5500,171,77,168,58,168,98
HI,2021/01/22,137,26,103,26,2,26,0,26,3
IA,2021/01/22,427,124,416,126,3,124,2,124,8
ID,2021/01/22,221,51,223,52,3,51,3,51,2
IL,2021/01/22,3215,201,2720,206,46,201,23,201,46
IN,2021/01/22,2111,164,1794,166,27,164,21,164,38
KS,2021/01/22,786,146,720,149,8,146,5,146,14
KY,2021/01/22,1693,116,1576,118,18,116,2,116,26
LA,2021/01/22,1510,218,1652,221,14,218,9,218,26
MA,2021/01/22,1926,101,1758,102,22,101,17,101,29
MD,2021/01/22,2025,59,1564,60,14,59,11,59,33
ME,2021/01/22,229,38,189,39,1,38,1,38,2
MI,2021/01/22,1812,160,1684,164,22,160,18,160,26
MN,2021/01/22,626,139,545,140,15,139,13,139,2
MO,2021/01/22,2047,136,1727,140,57,136,27,136,34
MS,2021/01/22,1150,106,965,108,15,106,7,106,29
MT,2021/01/22,148,66,137,67,5,66,1,66,2
NC,2021/01/22,3406,128,3248,132,37,128,23,128,60
NE,2021/01/22,424,100,410,101,11,100,6,100,6
NH,2021/01/22,270,30,230,30,1,30,1,30,1
NJ,2021/01/22,3365,95,3088,96,35,95,10,95,60
NM,2021/01/22,703,54,654,55,11,54,4,54,15
NV,2021/01/22,1502,61,1432,63,5,61,5,61,32
NY,2021/01/22,9695,199,9034,208,143,199,58,199,113
OH,2021/01/22,3760,228,3381,232,114,228,67,228,54
OK,2021/01/22,1634,149,1645,151,76,149,74,149,25
OR,2021/01/22,417,62,353,64,12,62,3,62,6
PA,2021/01/22,4850,222,4251,228,65,220,31,220,85
PR,2021/01/22,342,66,276,67,30,66,2,66,55
RI,2021/01/22,393,14,359,15,6,14,6,14,6
SC,2021/01/22,2121,85,2025,87,14,85,5,85,35
SD,2021/01/22,173,62,156,65,1,62,0,62,4
TN,2021/01/22,2347,112,2256,115,31,112,29,112,66
TX,2021/01/22,13847,587,13341,592,178,587,143,587,233
UT,2021/01/22,528,58,457,59,13,58,0,58,2
VA,2021/01/22,2778,103,2478,106,20,103,12,103,61
WA,2021/01/22,834,103,765,105,26,103,9,103,11
WI,2021/01/22,921,145,889,148,12,145,2,145,16
WV,2021/01/22,711,59,686,63,5,59,2,59,12
AL,2021/01/23,2593,113,2384,115,24,113,20,113,46
AR,2021/01/23,1158,109,1036,111,15,109,6,109,23
AZ,2021/01/23,4419,123,3956,126,50,123,30,123,85
CA,2021/01/23,18861,407,18261,415,211,407,171,407,372
CO,2021/01/23,789,103,725,105,31,103,20,103,9
CT,2021/01/23,1219,39,1099,40,12,39,10,39,17
DE,2021/01/23,395,15,381,16,5,15,3,15,9
FL,2021/01/23,7378,263,6960,269,65,263,51,263,110
GA,2021/01/23,5595,168,5293,171,69,168,40,168,91
IA,2021/01/23,386,124,380,126,6,124,3,124,9
ID,2021/01/23,201,51,194,52,4,51,4,51,4
IL,2021/01/23,3062,201,2568,206,47,201,18,201,49
IN,2021/01/23,2038,164,1714,166,31,164,21,164,25
KS,2021/01/23,754,146,688,149,8,146,6,146,30
KY,2021/01/23,1628,116,1519,118,12,116,2,116,28
LA,2021/01/23,1471,218,1592,221,10,218,8,218,29
MA,2021/01/23,1827,101,1661,102,19,101,17,101,38
MD,2021/01/23,1981,59,1584,60,15,59,12,59,28
ME,2021/01/23,218,38,185,39,1,38,1,38,1
MI,2021/01/23,1702,160,1552,164,21,160,20,160,36
MN,2021/01/23,598,139,504,140,20,139,14,139,5
MO,2021/01/23,1908,136,1624,140,61,136,29,136,35
MS,2021/01/23,1110,106,949,108,10,106,6,106,24
MT,2021/01/23,139,66,134,67,1,66,1,66,3
NC,2021/01/23,3268,128,3119,132,46,128,27,128,67
NE,2021/01/23,408,100,384,101,9,100,5,100,5
NJ,2021/01/23,3333,95,3056,96,37,95,15,95,66
NM,2021/01/23,567,53,550,54,7,53,3,53,15
NV,2021/01/23,1472,61,1387,63,6,61,5,61,19
NY,2021/01/23,9446,199,8800,208,131,199,53,199,169
OH,2021/01/23,3623,229,3234,233,67,229,44,229,77
OK,2021/01/23,1552,149,1565,151,74,149,72,149,45
OR,2021/01/23,422,62,344,64,10,62,3,62,4
PA,2021/01/23,4585,222,4110,228,55,220,32,220,97
PR,2021/01/23,308,66,248,67,29,66,1,66,6
RI,2021/01/23,386,14,350,15,5,14,5,14,12
SC,2021/01/23,2088,85,2011,87,11,85,4,85,44
SD,2021/01/23,148,62,133,65,4,62,0,62,1
TN,2021/01/23,2128,110,2037,113,31,110,26,110,46
TX,2021/01/23,13406,587,12878,592,158,587,129,587,192
UT,2021/01/23,512,58,443,59,17,58,0,58,2
VA,2021/01/23,2702,103,2380,106,17,103,12,103,40
WA,2021/01/23,849,103,773,105,23,103,7,103,15
WI,2021/01/23,893,144,852,147,3,144,1,144,20
WV,2021/01/23,694,59,665,63,5,59,1,59,13
AL,2021/01/24,2626,113,2401,115,25,113,20,113,38
AR,2021/01/24,1138,109,1009,111,13,109,7,109,21
AZ,2021/01/24,4337,123,3884,126,45,123,30,123,83
CA,2021/01/24,18218,408,17490,416,213,408,171,408,384
CO,2021/01/24,764,103,677,105,15,103,13,103,9
CT,2021/01/24,1201,39,1088,40,13,39,10,39,23
DC,2021/01/24,322,13,289,14,34,13,12,13,3
DE,2021/01/24,400,15,388,16,5,15,4,15,6
FL,2021/01/24,7401,263,6991,269,60,263,50,263,110
GA,2021/01/24,5555,168,5244,171,66,168,44,168,75
IA,2021/01/24,389,124,379,126,6,124,4,124,5
ID,2021/01/24,227,51,219,52,5,51,4,51,4
IL,2021/01/24,3044,201,2537,206,42,201,16,201,32
IN,2021/01/24,1991,164,1666,166,29,164,24,164,19
KS,2021/01/24,771,146,691,149,5,146,4,146,17
KY,2021/01/24,1627,116,1518,118,15,116,6,116,30
LA,2021/01/24,1481,218,1599,221,13,218,11,218,24
MA,2021/01/24,1808,101,1665,102,14,101,14,101,30
MD,2021/01/24,1941,59,1582,60,23,59,14,59,29
ME,2021/01/24,223,38,194,39,2,38,1,38,2
MI,2021/01/24,1677,160,1511,164,22,160,20,160,20
MN,2021/01/24,586,139,506,140,16,139,15,139,8
MO,2021/01/24,1862,136,1588,140,52,136,28,136,28
MS,2021/01/24,1079,106,931,108,19,106,10,106,13
MT,2021/01/24,132,66,124,67,4,66,4,66,3
NC,2021/01/24,3229,128,3071,132,45,128,32,128,51
NE,2021/01/24,397,100,382,101,8,100,6,100,6
NH,2021/01/24,268,30,234,30,1,30,0,30,1
NJ,2021/01/24,3363,95,3113,96,34,95,11,95,52
NM,2021/01/24,595,53,570,54,7,53,3,53,8
NV,2021/01/24,1448,61,1398,63,4,61,5,61,48
NY,2021/01/24,9495,199,8900,208,276,199,58,199,129
OH,2021/01/24,3556,229,3137,233,69,229,36,229,50
OK,2021/01/24,1559,148,1554,150,74,148,72,148,34
OR,2021/01/24,393,62,320,64,10,62,4,62,10
PA,2021/01/24,4502,222,4020,228,51,220,31,220,77
PR,2021/01/24,295,66,229,67,25,66,3,66,3
RI,2021/01/24,394,14,359,15,4,14,4,14,4
SC,2021/01/24,2106,85,1999,87,10,85,5,85,49
SD,2021/01/24,150,62,134,65,3,62,1,62,2
TN,2021/01/24,2122,110,2051,113,26,110,23,110,47
TX,2021/01/24,13408,587,12882,592,162,587,134,587,185
UT,2021/01/24,526,58,452,59,16,58,0,58,2
VA,2021/01/24,2745,103,2424,106,14,103,11,103,22
WA,2021/01/24,861,103,789,105,27,103,8,103,16
WI,2021/01/24,866,144,833,147,3,144,0,144,22
WV,2021/01/24,687,59,649,63,6,59,3,59,11
AL,2021/01/25,2375,104,2283,106,31,104,23,104,56
AR,2021/01/25,1055,89,982,91,9,89,2,89,17
AZ,2021/01/25,4209,101,3755,104,47,101,28,101,80
CA,2021/01/25,17813,368,17262,376,183,368,156,368,358
CO,2021/01/25,716,95,657,97,30,95,8,95,8
CT,2021/01/25,1205,32,1085,33,8,32,6,32,15
DC,2021/01/25,314,13,277,14,31,13,11,13,6
DE,2021/01/25,377,9,372,10,4,9,4,9,6
FL,2021/01/25,7410,225,7010,231,79,225,65,225,80
GA,2021/01/25,5442,151,5150,154,62,151,39,151,95
HI,2021/01/25,101,24,90,24,1,24,0,24,3
IA,2021/01/25,427,120,413,122,7,120,3,120,6
ID,2021/01/25,237,47,231,48,4,47,4,47,3
IL,2021/01/25,3022,185,2534,190,50,185,15,185,45
IN,2021/01/25,1908,136,1618,138,28,136,21,136,25
KS,2021/01/25,734,138,677,141,6,138,5,138,10
KY,2021/01/25,1583,102,1506,104,9,102,3,102,26
LA,2021/01/25,1474,218,1615,221,16,218,11,218,24
MA,2021/01/25,1737,78,1592,79,20,78,12,78,25
MD,2021/01/25,1892,52,1545,53,19,52,13,52,30
ME,2021/01/25,226,36,191,37,1,36,1,36,5
MI,2021/01/25,1641,156,1512,160,23,156,21,156,18
MN,2021/01/25,577,130,494,131,17,130,13,130,7
MO,2021/01/25,1854,122,1608,126,54,122,31,122,20
MS,2021/01/25,1033,99,896,101,22,99,14,99,24
MT,2021/01/25,126,65,124,66,3,65,2,65,1
NC,2021/01/25,3380,116,3244,120,42,116,32,116,60
NE,2021/01/25,402,99,382,100,7,99,6,99,2
NH,2021/01/25,223,28,202,28,1,28,1,28,4
NJ,2021/01/25,3316,77,3119,78,40,77,18,77,53
NM,2021/01/25,644,51,573,52,21,51,7,51,7
NV,2021/01/25,1481,58,1394,60,6,58,6,58,25
NY,2021/01/25,9634,172,8984,181,136,172,74,172,144
OH,2021/01/25,3380,196,3130,200,67,196,35,196,60
OK,2021/01/25,1530,140,1523,142,73,140,72,140,32
OR,2021/01/25,432,61,360,63,13,61,5,61,2
PA,2021/01/25,4364,199,3954,205,58,197,33,197,107
PR,2021/01/25,298,66,230,67,25,66,4,66,3
RI,2021/01/25,400,14,366,15,5,14,5,14,10
SC,2021/01/25,2005,68,1959,70,7,68,6,68,49
SD,2021/01/25,148,60,127,63,2,60,1,60,1
TN,2021/01/25,2057,109,2002,112,19,109,18,109,52
TX,2021/01/25,13356,584,12872,589,187,584,151,584,221
UT,2021/01/25,511,52,431,53,11,52,0,52,1
VA,2021/01/25,2687,92,2422,95,16,92,10,92,39
WA,2021/01/25,829,93,765,95,9,93,4,93,7
WI,2021/01/25,899,139,855,142,22,139,16,139,13
WV,2021/01/25,631,55,611,59,6,55,3,55,10
WY,2021/01/25,67,28,67,30,3,28,3,28,1
AL,2021/01/26,2328,104,2234,106,31,104,16,104,53
AR,2021/01/26,1049,89,953,91,8,89,2,89,15
AZ,2021/01/26,4207,101,3742,104,59,101,29,101,62
CA,2021/01/26,17494,368,16844,376,166,368,144,368,407
CO,2021/01/26,730,94,661,96,21,94,11,94,8
CT,2021/01/26,1177,32,1050,33,11,32,10,32,15
DC,2021/01/26,352,13,296,14,28,13,10,13,9
DE,2021/01/26,362,9,350,10,6,9,6,9,2
FL,2021/01/26,7280,226,6798,232,75,226,57,226,117
GA,2021/01/26,5317,153,5074,156,68,153,41,153,96
HI,2021/01/26,98,24,84,24,1,24,0,24,1
IA,2021/01/26,417,120,402,122,7,120,6,120,6
ID,2021/01/26,232,47,227,48,4,47,4,47,1
IL,2021/01/26,3005,184,2440,189,47,184,19,184,29
IN,2021/01/26,1862,136,1555,138,19,136,14,136,26
KS,2021/01/26,732,138,660,141,5,138,3,138,16
KY,2021/01/26,1606,101,1520,103,20,101,3,101,19
LA,2021/01/26,1488,218,1713,221,14,218,10,218,30
MA,2021/01/26,1744,78,1580,79,16,78,13,78,32
MD,2021/01/26,1889,52,1516,53,23,52,17,52,32
ME,2021/01/26,220,36,191,37,1,36,1,36,3
MI,2021/01/26,1613,156,1484,160,22,156,20,156,26
MN,2021/01/26,572,130,469,131,19,130,16,130,25
MO,2021/01/26,1882,121,1614,125,62,121,36,121,22
MS,2021/01/26,1056,99,907,101,22,99,14,99,26
MT,2021/01/26,123,65,115,66,1,65,1,65,1
NC,2021/01/26,3334,115,3186,119,46,115,33,115,62
NE,2021/01/26,367,99,370,100,7,99,7,99,2
NH,2021/01/26,230,28,209,28,3,28,2,28,3
NJ,2021/01/26,3262,77,3029,78,27,77,10,77,69
NM,2021/01/26,676,52,599,53,23,52,8,52,8
NV,2021/01/26,1417,58,1383,60,7,58,6,58,18
NY,2021/01/26,9494,172,8877,181,147,172,78,172,136
OH,2021/01/26,3354,195,3067,199,69,195,37,195,48
OK,2021/01/26,1516,140,1488,142,82,140,73,140,37
OR,2021/01/26,405,61,333,63,7,61,4,61,2
PA,2021/01/26,4409,199,3916,205,63,197,40,197,71
PR,2021/01/26,294,66,232,67,35,66,5,66,4
RI,2021/01/26,391,14,356,15,4,14,4,14,6
SC,2021/01/26,1988,68,1920,70,7,68,6,68,42
TN,2021/01/26,2120,110,2006,113,24,110,22,110,55
TX,2021/01/26,13337,584,12834,589,167,584,137,584,216
UT,2021/01/26,504,52,419,53,14,52,0,52,5
VA,2021/01/26,2663,93,2397,96,25,93,12,93,51
WA,2021/01/26,807,93,736,95,8,93,4,93,6
WI,2021/01/26,870,139,817,142,6,139,2,139,27
WV,2021/01/26,605,55,586,59,4,55,1,55,13
WY,2021/01/26,79,29,71,31,3,29,3,29,1
AL,2021/01/27,2386,115,2214,117,27,115,20,115,51
AR,2021/01/27,1111,109,964,111,16,109,5,109,28
AZ,2021/01/27,4146,123,3684,126,60,123,37,123,70
CA,2021/01/27,17034,409,16305,417,178,409,145,409,376
CO,2021/01/27,738,103,637,105,26,103,14,103,9
CT,2021/01/27,1140,39,1006,40,5,39,5,39,20
DC,2021/01/27,331,13,302,14,29,13,13,13,2
DE,2021/01/27,368,15,338,16,7,15,5,15,2
FL,2021/01/27,7342,263,6882,269,69,263,54,263,123
GA,2021/01/27,5265,168,4996,171,74,168,52,168,85
IA,2021/01/27,397,124,388,126,3,124,3,124,5
ID,2021/01/27,219,51,220,52,6,51,5,51,4
IL,2021/01/27,2920,200,2408,205,44,200,21,200,39
IN,2021/01/27,1854,164,1545,166,20,164,16,164,28
KS,2021/01/27,706,147,643,150,4,147,2,147,18
KY,2021/01/27,1657,116,1533,118,15,116,1,116,28
LA,2021/01/27,1465,219,1579,222,18,219,9,219,19
MA,2021/01/27,1735,100,1554,101,23,100,20,100,37
MD,2021/01/27,1880,59,1538,60,24,59,18,59,32
ME,2021/01/27,209,38,182,39,1,38,1,38,2
MI,2021/01/27,1568,159,1436,163,20,159,17,159,26
MN,2021/01/27,532,139,434,140,14,139,13,139,7
MO,2021/01/27,1883,136,1605,140,85,136,34,136,30
MS,2021/01/27,1049,107,910,109,23,107,15,107,23
MT,2021/01/27,120,66,111,67,5,66,2,66,2
NC,2021/01/27,3267,128,3138,132,64,128,37,128,56
NE,2021/01/27,359,100,338,101,5,100,5,100,9
NH,2021/01/27,262,30,218,30,1,30,1,30,3
NJ,2021/01/27,3235,95,2990,96,32,95,8,95,61
NM,2021/01/27,660,54,579,55,15,54,6,54,5
NV,2021/01/27,1336,61,1314,63,7,61,8,61,25
NY,2021/01/27,9342,199,8733,208,136,199,71,199,131
OH,2021/01/27,3350,229,3061,233,72,229,37,229,48
OK,2021/01/27,1470,149,1450,151,80,149,76,149,34
OR,2021/01/27,400,62,335,64,5,62,2,62,8
PA,2021/01/27,4477,222,3906,228,76,222,47,222,59
PR,2021/01/27,282,66,221,67,40,66,6,66,6
RI,2021/01/27,393,14,361,15,2,14,2,14,9
SC,2021/01/27,1953,85,1863,87,10,85,6,85,45
SD,2021/01/27,157,62,130,65,7,62,2,62,2
TN,2021/01/27,1970,115,1884,118,31,115,23,115,57
TX,2021/01/27,12897,587,12423,592,184,587,151,587,243
UT,2021/01/27,542,58,435,59,12,58,0,58,5
VA,2021/01/27,2621,104,2357,107,20,104,14,104,39
WA,2021/01/27,777,103,704,105,21,103,5,103,10
WI,2021/01/27,861,145,809,148,5,145,1,145,35
WV,2021/01/27,653,59,612,63,8,59,4,59,15
AL,2021/01/28,2386,115,2213,117,27,115,15,115,51
AR,2021/01/28,1100,110,948,112,18,110,4,110,23
AZ,2021/01/28,4046,123,3556,126,49,123,35,123,90
CA,2021/01/28,16401,409,15759,417,168,409,144,409,336
CO,2021/01/28,691,103,620,105,26,103,15,103,9
CT,2021/01/28,1123,39,1005,40,8,39,5,39,17
DC,2021/01/28,303,13,282,14,32,13,11,13,4
DE,2021/01/28,351,15,320,16,4,15,2,15,5
FL,2021/01/28,7262,263,6762,269,71,263,57,263,93
GA,2021/01/28,5119,168,4873,171,70,168,39,168,89
HI,2021/01/28,105,26,88,26,3,26,1,26,2
IA,2021/01/28,392,124,379,126,5,124,4,124,8
ID,2021/01/28,219,51,212,52,5,51,4,51,5
IL,2021/01/28,2823,201,2333,206,51,201,28,201,38
IN,2021/01/28,1709,164,1471,166,22,164,16,164,29
KS,2021/01/28,668,147,610,150,3,147,2,147,12
KY,2021/01/28,1588,116,1487,118,15,116,2,116,31
LA,2021/01/28,1391,219,1904,222,9,219,6,219,19
MA,2021/01/28,1673,100,1486,101,18,100,16,100,37
MD,2021/01/28,1888,59,1510,60,24,59,14,59,22
ME,2021/01/28,209,38,178,39,2,38,1,38,2
MI,2021/01/28,1517,159,1382,163,21,159,21,159,22
MN,2021/01/28,520,139,440,140,17,139,14,139,4
MO,2021/01/28,1799,136,1530,140,72,136,34,136,30
MS,2021/01/28,966,107,835,109,21,107,12,107,24
MT,2021/01/28,113,66,103,67,2,66,2,66,3
NC,2021/01/28,3107,128,2953,132,64,128,37,128,70
ND,2021/01/28,120,49,90,50,1,49,1,49,3
NE,2021/01/28,353,100,337,101,7,100,5,100,5
NH,2021/01/28,254,30,215,30,1,30,1,30,4
